KernelVersion,URL
From Apr. 16 2005,https://remword.com/kps_result/all_whole.html
Linux-6.9(on-going),https://remword.com/kps_result/6.9_whole.html
Linux-6.8(2024-03-10),https://remword.com/kps_result/6.8_whole.html
Linux-6.7(2024-01-07),https://remword.com/kps_result/6.7_whole.html
Linux-6.6(2023-10-29),https://remword.com/kps_result/6.6_whole.html
Linux-6.5(2023-08-27),https://remword.com/kps_result/6.5_whole.html
Linux-6.4(2023-06-25),https://remword.com/kps_result/6.4_whole.html
Linux-6.3(2023-04-23),https://remword.com/kps_result/6.3_whole.html
Linux-6.2(2023-02-19),https://remword.com/kps_result/6.2_whole.html
Linux-6.1(2022-12-11),https://remword.com/kps_result/6.1_whole.html
Linux-6.0(2022-10-02),https://remword.com/kps_result/6.0_whole.html
Linux-5.19(2022-07-31),https://remword.com/kps_result/5.19_whole.html
Linux-5.18(2022-05-22),https://remword.com/kps_result/5.18_whole.html
Linux-5.17(2022-03-20),https://remword.com/kps_result/5.17_whole.html
Linux-5.16(2022-01-09),https://remword.com/kps_result/5.16_whole.html
Linux-5.15(2021-10-31),https://remword.com/kps_result/5.15_whole.html
Linux-5.14(2021-08-29),https://remword.com/kps_result/5.14_whole.html
Linux-5.13(2021-06-27),https://remword.com/kps_result/5.13_whole.html
Linux-5.12(2021-04-25),https://remword.com/kps_result/5.12_whole.html
Linux-5.11(2021-02-14),https://remword.com/kps_result/5.11_whole.html
Linux-5.10(2020-12-13),https://remword.com/kps_result/5.10_whole.html
Linux-5.9(2020-10-11),https://remword.com/kps_result/5.9_whole.html
Linux-5.8(2020-08-02),https://remword.com/kps_result/5.8_whole.html
Linux-5.7(2020-05-31),https://remword.com/kps_result/5.7_whole.html
Linux-5.6(2020-03-29),https://remword.com/kps_result/5.6_whole.html
Linux-5.5(2020-01-26),https://remword.com/kps_result/5.5_whole.html
Linux-5.4(2019-11-24),https://remword.com/kps_result/5.4_whole.html
Linux-5.3(2019-09-15),https://remword.com/kps_result/5.3_whole.html
Linux-5.2(2019-07-07),https://remword.com/kps_result/5.2_whole.html
Linux-5.1(2019-05-05),https://remword.com/kps_result/5.1_whole.html
Linux-5.0(2019-03-03),https://remword.com/kps_result/5.0_whole.html
Linux-4.20(2018-12-23),https://remword.com/kps_result/4.20_whole.html
Linux-4.19(2018-10-22),https://remword.com/kps_result/4.19_whole.html
Linux-4.18(2018-08-12),https://remword.com/kps_result/4.18_whole.html
Linux-4.17(2018-06-03),https://remword.com/kps_result/4.17_whole.html
Linux-4.16(2018-04-01),https://remword.com/kps_result/4.16_whole.html
Linux-4.15(2018-01-28),https://remword.com/kps_result/4.15_whole.html
Linux-4.14(2017-11-12),https://remword.com/kps_result/4.14_whole.html
Linux-4.13(2017-09-03),https://remword.com/kps_result/4.13_whole.html
Linux-4.12(2017-07-02),https://remword.com/kps_result/4.12_whole.html
Linux-4.11(2017-04-30),https://remword.com/kps_result/4.11_whole.html
Linux-4.10(2017-02-19),https://remword.com/kps_result/4.10_whole.html
Linux-4.9(2016-12-11),https://remword.com/kps_result/4.9_whole.html
Linux-4.8(2016-10-02),https://remword.com/kps_result/4.8_whole.html
Linux-4.7(2016-07-24),https://remword.com/kps_result/4.7_whole.html
Linux-4.6(2016-05-15),https://remword.com/kps_result/4.6_whole.html
Linux-4.5(2016-03-13),https://remword.com/kps_result/4.5_whole.html
Linux-4.4(2016-01-10),https://remword.com/kps_result/4.4_whole.html
Linux-4.3(2015-11-01),https://remword.com/kps_result/4.3_whole.html
Linux-4.2(2015-08-30),https://remword.com/kps_result/4.2_whole.html
Linux-4.1(2015-06-21),https://remword.com/kps_result/4.1_whole.html
Linux-4.0(2015-04-12),https://remword.com/kps_result/4.0_whole.html
Linux-3.19(2015-02-08),https://remword.com/kps_result/3.19_whole.html
Linux-3.18(2014-12-07),https://remword.com/kps_result/3.18_whole.html
Linux-3.17(2014-10-05),https://remword.com/kps_result/3.17_whole.html
Linux-3.16(2014-08-03),https://remword.com/kps_result/3.16_whole.html
Linux-3.15(2014-06-08),https://remword.com/kps_result/3.15_whole.html
Linux-3.14(2014-03-30),https://remword.com/kps_result/3.14_whole.html
Linux-3.13(2014-01-19),https://remword.com/kps_result/3.13_whole.html
Linux-3.12(2013-11-03),https://remword.com/kps_result/3.12_whole.html
Linux-3.11(2013-09-02),https://remword.com/kps_result/3.11_whole.html
Linux-3.10(2013-06-30),https://remword.com/kps_result/3.10_whole.html
Linux-3.9(2013-04-28),https://remword.com/kps_result/3.9_whole.html
Linux-3.8(2013-02-18),https://remword.com/kps_result/3.8_whole.html
Linux-3.7(2012-12-10),https://remword.com/kps_result/3.7_whole.html
Linux-3.6(2012-09-30),https://remword.com/kps_result/3.6_whole.html
Linux-3.5(2012-07-21),https://remword.com/kps_result/3.5_whole.html
Linux-3.4(2012-05-20),https://remword.com/kps_result/3.4_whole.html
Linux-3.3(2012-03-18),https://remword.com/kps_result/3.3_whole.html
Linux-3.2(2012-01-04),https://remword.com/kps_result/3.2_whole.html
Linux-3.1(2011-10-24),https://remword.com/kps_result/3.1_whole.html
Linux-3.0(2011-07-21),https://remword.com/kps_result/3.0_whole.html
Linux-2.6.39(2011-05-18),https://remword.com/kps_result/2.6.39_whole.html
Linux-2.6.38(2011-03-14),https://remword.com/kps_result/2.6.38_whole.html
Linux-2.6.37(2011-01-04),https://remword.com/kps_result/2.6.37_whole.html
Linux-2.6.36(2010-10-20),https://remword.com/kps_result/2.6.36_whole.html
Linux-2.6.35(2010-08-01),https://remword.com/kps_result/2.6.35_whole.html
Linux-2.6.34(2010-05-16),https://remword.com/kps_result/2.6.34_whole.html
Linux-2.6.33(2010-02-24),https://remword.com/kps_result/2.6.33_whole.html
Linux-2.6.32(2009-12-02),https://remword.com/kps_result/2.6.32_whole.html
Linux-2.6.31(2009-09-09),https://remword.com/kps_result/2.6.31_whole.html
Linux-2.6.30(2009-06-09),https://remword.com/kps_result/2.6.30_whole.html
Linux-2.6.29(2009-03-23),https://remword.com/kps_result/2.6.29_whole.html
Linux-2.6.28(2008-12-24),https://remword.com/kps_result/2.6.28_whole.html
Linux-2.6.27(2008-10-09),https://remword.com/kps_result/2.6.27_whole.html
Linux-2.6.26(2008-07-13),https://remword.com/kps_result/2.6.26_whole.html
Linux-2.6.25(2008-04-16),https://remword.com/kps_result/2.6.25_whole.html
Linux-2.6.24(2008-01-24),https://remword.com/kps_result/2.6.24_whole.html
Linux-2.6.23(2007-10-09),https://remword.com/kps_result/2.6.23_whole.html
Linux-2.6.22(2007-07-08),https://remword.com/kps_result/2.6.22_whole.html
Linux-2.6.21(2007-04-25),https://remword.com/kps_result/2.6.21_whole.html
Linux-2.6.20(2007-02-04),https://remword.com/kps_result/2.6.20_whole.html
Linux-2.6.19(2006-11-29),https://remword.com/kps_result/2.6.19_whole.html
Linux-2.6.18(2006-09-19),https://remword.com/kps_result/2.6.18_whole.html
Linux-2.6.17(2006-06-17),https://remword.com/kps_result/2.6.17_whole.html
Linux-2.6.16(2006-03-19),https://remword.com/kps_result/2.6.16_whole.html
Linux-2.6.15(2006-01-02),https://remword.com/kps_result/2.6.15_whole.html
Linux-2.6.14(2005-10-27),https://remword.com/kps_result/2.6.14_whole.html
Linux-2.6.13(2005-08-28),https://remword.com/kps_result/2.6.13_whole.html
Linux-2.6.12(2005-06-17),https://remword.com/kps_result/2.6.12_whole.html
