邮箱后缀,提交数量,占比(%)
kernel.org,8201,10.84
gmail.com,6871,9.08
intel.com,5290,6.99
amd.com,3577,4.73
google.com,3058,4.04
linaro.org,2850,3.77
redhat.com,2498,3.30
linux.intel.com,2300,3.04
nvidia.com,1850,2.44
linux.dev,1594,2.11
oss.qualcomm.com,1263,1.67
suse.com,1222,1.61
huawei.com,1159,1.53
nxp.com,1151,1.52
quicinc.com,1149,1.52
suse.de,1054,1.39
linutronix.de,1031,1.36
renesas.com,912,1.21
linux.ibm.com,880,1.16
arm.com,859,1.13
infradead.org,819,1.08
collabora.com,808,1.07
oracle.com,774,1.02
bootlin.com,630,0.83
bp.renesas.com,595,0.79
baylibre.com,581,0.77
ti.com,517,0.68
lst.de,486,0.64
kylinos.cn,443,0.59
armlinux.org.uk,440,0.58
ideasonboard.com,406,0.54
chromium.org,403,0.53
zeniv.linux.org.uk,399,0.53
realtek.com,357,0.47
mediatek.com,353,0.47
broadcom.com,353,0.47
vivo.com,339,0.45
loongson.cn,332,0.44
gondor.apana.org.au,324,0.43
igalia.com,313,0.41
opensource.cirrus.com,309,0.41
microchip.com,291,0.38
iscas.ac.cn,283,0.37
goodmis.org,275,0.36
treblig.org,274,0.36
glider.be,264,0.35
arndb.de,263,0.35
samba.org,245,0.32
linux.microsoft.com,233,0.31
linux.alibaba.com,230,0.30
pengutronix.de,224,0.30
amazon.com,221,0.29
analog.com,217,0.29
sang-engineering.com,216,0.29
foss.st.com,216,0.29
weissschuh.net,212,0.28
samsung.com,205,0.27
rock-chips.com,203,0.27
purestorage.com,199,0.26
kernel.dk,190,0.25
debian.org,186,0.25
ew.tq-group.com,161,0.21
fairphone.com,148,0.20
163.com,147,0.19
wdc.com,142,0.19
bytedance.com,140,0.18
wanadoo.fr,132,0.17
neverthere.org,132,0.17
disroot.org,129,0.17
rivosinc.com,129,0.17
tencent.com,124,0.16
canonical.com,122,0.16
mailbox.org,121,0.16
microsoft.com,119,0.16
meta.com,110,0.15
uniontech.com,109,0.14
lwn.net,108,0.14
roeck-us.net,107,0.14
outlook.com,105,0.14
linux-foundation.org,103,0.14
ventanamicro.com,101,0.13
zte.com.cn,100,0.13
ragnatech.se,100,0.13
marvell.com,97,0.13
acm.org,97,0.13
gmx.de,96,0.13
suse.cz,96,0.13
sntech.de,95,0.13
toradex.com,90,0.12
inspur.com,87,0.11
amlogic.com,87,0.11
strlen.de,86,0.11
gmx.net,83,0.11
antgroup.com,80,0.11
brown.name,77,0.10
hammerspace.com,76,0.10
digikod.net,74,0.10
public-files.de,73,0.10
huaweicloud.com,73,0.10
nbd.name,72,0.10
altera.com,71,0.09
sakamocchi.jp,70,0.09
fomichev.me,67,0.09
hisilicon.com,66,0.09
cherry.de,65,0.09
linuxfoundation.org,64,0.08
sifive.com,64,0.08
makrotopia.org,63,0.08
csgroup.eu,62,0.08
fb.com,62,0.08
trustnetic.com,62,0.08
posteo.net,60,0.08
kwiboo.se,60,0.08
googlemail.com,59,0.08
proton.me,57,0.08
phytec.de,56,0.07
ispras.ru,56,0.07
jannau.net,55,0.07
amarulasolutions.com,54,0.07
ionos.com,53,0.07
antheas.dev,52,0.07
codeconstruct.com.au,52,0.07
hotmail.com,52,0.07
cisco.com,52,0.07
wunner.de,51,0.07
zytor.com,49,0.06
marcan.st,49,0.06
aspeedtech.com,48,0.06
riscstar.com,48,0.06
soleen.com,48,0.06
csie.org,48,0.06
qq.com,47,0.06
alien8.de,47,0.06
lankhorst.se,47,0.06
paul-moore.com,46,0.06
protonmail.com,45,0.06
yandex.ru,44,0.06
xiaomi.com,43,0.06
baidu.com,43,0.06
jmu.edu.cn,43,0.06
queasysnail.net,43,0.06
rbox.co,42,0.06
norik.com,42,0.06
sk.com,41,0.05
gentoo.org,40,0.05
openvpn.net,40,0.05
ixit.cz,39,0.05
xs4all.nl,39,0.05
oss.nxp.com,38,0.05
davidwei.uk,38,0.05
minyard.net,38,0.05
manguebit.org,37,0.05
cloudflare.com,37,0.05
mainlining.org,36,0.05
os.amperecomputing.com,34,0.04
mt-integration.ru,34,0.04
windriver.com,33,0.04
siemens.com,33,0.04
axis.com,33,0.04
apitzsch.eu,33,0.04
codeweavers.com,33,0.04
lucaweiss.eu,32,0.04
yahoo.com,32,0.04
denx.de,32,0.04
fujitsu.com,31,0.04
iki.fi,31,0.04
cmss.chinamobile.com,31,0.04
zohomail.com,31,0.04
live.com,31,0.04
imgtec.com,30,0.04
sony.com,30,0.04
ellerman.id.au,30,0.04
linux-m68k.org,29,0.04
unisoc.com,29,0.04
ethancedwards.com,29,0.04
cixtech.com,28,0.04
prolan.hu,28,0.04
gourry.net,28,0.04
dujemihanovic.xyz,28,0.04
dimonoff.com,28,0.04
nwl.cc,28,0.04
kvaser.com,28,0.04
gocontroll.com,27,0.04
I-love.SAKURA.ne.jp,27,0.04
swemel.ru,27,0.04
fiberby.net,27,0.04
cknow.org,27,0.04
amazon.co.uk,27,0.04
stgolabs.net,26,0.03
toxicpanda.com,26,0.03
users.sourceforge.net,26,0.03
kontron.de,26,0.03
raspberrypi.com,25,0.03
morsemicro.com,25,0.03
ddn.com,25,0.03
subdimension.ro,25,0.03
huaqin.corp-partner.google.com,25,0.03
Intel.com,25,0.03
daynix.com,25,0.03
kemnade.info,24,0.03
mojatatu.com,24,0.03
netfilter.org,24,0.03
mev.co.uk,24,0.03
cqsoftware.com.cn,24,0.03
linux.spacemit.com,23,0.03
amazon.de,23,0.03
endrift.com,23,0.03
manguebit.com,23,0.03
iopsys.eu,22,0.03
richtek.com,22,0.03
narfation.org,22,0.03
mentallysanemainliners.org,22,0.03
zju.edu.cn,21,0.03
bur.io,21,0.03
ee.iitb.ac.in,21,0.03
siliconsignals.io,21,0.03
iogearbox.net,21,0.03
freeshell.de,21,0.03
cmpxchg.org,21,0.03
jrife.io,21,0.03
sartura.hr,20,0.03
ibm.com,20,0.03
dubeyko.com,20,0.03
solid-run.com,20,0.03
wp.pl,20,0.03
gateworks.com,20,0.03
liebherr.com,20,0.03
nfschina.com,20,0.03
sys-base.io,20,0.03
kolumbus.fi,20,0.03
seu.edu.cn,19,0.03
tuxedocomputers.com,19,0.03
alliedtelesis.co.nz,19,0.03
surriel.com,19,0.03
net-swift.com,19,0.03
mt.com,19,0.03
fastly.com,19,0.03
easystack.cn,18,0.02
fintech.ru,18,0.02
packett.cool,18,0.02
nuvoton.com,18,0.02
geanix.com,18,0.02
xry111.site,17,0.02
micron.com,17,0.02
icenowy.me,17,0.02
eswincomputing.com,17,0.02
radxa.com,17,0.02
pigmoral.tech,17,0.02
aol.com,17,0.02
salutedevices.com,17,0.02
HansenPartnership.com,17,0.02
exactco.de,16,0.02
oppo.com,16,0.02
paragon-software.com,16,0.02
cybernetics.com,16,0.02
tdk.com,16,0.02
fau.de,16,0.02
orange.fr,16,0.02
squebb.ca,15,0.02
lixiang.com,15,0.02
andestech.com,15,0.02
o2.pl,15,0.02
trager.us,15,0.02
pf.is.s.u-tokyo.ac.jp,15,0.02
maowtm.org,14,0.02
chinatelecom.cn,14,0.02
126.com,14,0.02
svanheule.net,14,0.02
mandelbit.com,14,0.02
honor.com,14,0.02
efficios.com,14,0.02
rong.moe,13,0.02
cadence.com,13,0.02
leap-io-kernel.com,13,0.02
postmarketos.org,13,0.02
ljones.dev,13,0.02
didiglobal.com,13,0.02
onurozkan.dev,13,0.02
smankusors.com,13,0.02
manjaro.org,13,0.02
socionext.com,13,0.02
oldschoolsolutions.biz,13,0.02
redadmin.org,12,0.02
cse.iitm.ac.in,12,0.02
foxmail.com,12,0.02
cjdns.fr,12,0.02
simonwunderlich.de,12,0.02
posteo.de,12,0.02
1wt.eu,12,0.02
riseup.net,12,0.02
citrix.com,12,0.02
emfend.at,12,0.02
mit.edu,12,0.02
coasia.com,12,0.02
nokia-bell-labs.com,12,0.02
axiado.com,12,0.02
mssola.com,11,0.01
marek.ca,11,0.01
cestc.cn,11,0.01
kaspersky.com,11,0.01
omp.ru,11,0.01
listout.xyz,11,0.01
uliege.be,11,0.01
c64.rulez.org,11,0.01
inmusicbrands.com,11,0.01
brighamcampbell.com,11,0.01
leica-geosystems.com,11,0.01
jiaxyga.com,11,0.01
asahilina.net,11,0.01
ite.com.tw,11,0.01
nokia.com,10,0.01
isrc.iscas.ac.cn,10,0.01
aosc.io,10,0.01
lge.com,10,0.01
hartkopp.net,10,0.01
tecnico.ulisboa.pt,10,0.01
starfivetech.com,10,0.01
medip.dev,10,0.01
tq-group.com,10,0.01
digiteqautomotive.com,10,0.01
tomeuvizoso.net,10,0.01
estudante.ufscar.br,10,0.01
cyyself.name,10,0.01
squashfs.org.uk,10,0.01
cyphar.com,10,0.01
arri.de,10,0.01
buenzli.dev,10,0.01
linux.vnet.ibm.com,10,0.01
dxuuu.xyz,10,0.01
nabijaczleweli.xyz,9,0.01
hpe.com,9,0.01
ovn.org,9,0.01
fnnas.com,9,0.01
crpt.ru,9,0.01
mxic.com.tw,9,0.01
6wind.com,9,0.01
infineon.com,9,0.01
garmin.com,9,0.01
bell.net,9,0.01
shopee.com,9,0.01
cab.de,9,0.01
netcube.li,9,0.01
genesyslogic.com.tw,9,0.01
hust.edu.cn,9,0.01
wetzel-home.de,9,0.01
lenovo.com,9,0.01
etsalapatis.com,9,0.01
mobileye.com,9,0.01
protonic.nl,9,0.01
strace.io,9,0.01
cutebit.org,9,0.01
emlix.com,9,0.01
asu.edu,8,0.01
columbia.edu,8,0.01
awinic.com,8,0.01
rowland.harvard.edu,8,0.01
schaufler-ca.com,8,0.01
canb.auug.org.au,8,0.01
0x0f.com,8,0.01
est.tech,8,0.01
oss.tenstorrent.com,8,0.01
hammernet.be,8,0.01
kzalloc.com,8,0.01
einfochips.com,8,0.01
trvn.ru,8,0.01
openai.com,8,0.01
molgen.mpg.de,8,0.01
willsroot.io,8,0.01
altlinux.org,8,0.01
everest-semi.com,8,0.01
hadess.net,8,0.01
Red54.com,8,0.01
sipsolutions.net,8,0.01
engleder-embedded.com,8,0.01
fossekall.de,8,0.01
yandex-team.ru,7,0.01
irl.hu,7,0.01
joshua.hu,7,0.01
opinsys.com,7,0.01
cse.ust.hk,7,0.01
zx2c4.com,7,0.01
nod.at,7,0.01
rootcommit.com,7,0.01
korsgaard.com,7,0.01
prodrive-technologies.com,7,0.01
qti.qualcomm.com,7,0.01
josie.lol,7,0.01
wbinvd.org,7,0.01
chainsx.cn,7,0.01
zetier.com,7,0.01
raptorengineering.com,7,0.01
garyguo.net,7,0.01
mleia.com,7,0.01
jacekk.info,7,0.01
siemens-energy.com,7,0.01
maciej.szmigiero.name,7,0.01
free.fr,7,0.01
wolfvision.net,7,0.01
triplefau.lt,7,0.01
ssi.gouv.fr,7,0.01
outer-limits.org,7,0.01
wkennington.com,7,0.01
arka.org,7,0.01
chipsnmedia.com,7,0.01
pen.gy,7,0.01
ACULAB.COM,7,0.01
synology.com,6,0.01
buffet.re,6,0.01
sigxcpu.org,6,0.01
somainline.org,6,0.01
secunet.com,6,0.01
orcam.me.uk,6,0.01
alpha.franken.de,6,0.01
nutanix.com,6,0.01
jaguarmicro.com,6,0.01
harin.net,6,0.01
thundersoft.com,6,0.01
gms.tku.edu.tw,6,0.01
h-partners.com,6,0.01
xv97.com,6,0.01
techsingularity.net,6,0.01
de.bosch.com,6,0.01
bamaicloud.com,6,0.01
codewreck.org,6,0.01
vinarskis.com,6,0.01
savoirfairelinux.com,6,0.01
Oracle.com,6,0.01
htecgroup.com,6,0.01
iencinas.com,6,0.01
goldelico.com,6,0.01
libre.computer,6,0.01
actia.se,6,0.01
husqvarnagroup.com,6,0.01
ozlabs.org,6,0.01
testtoast.com,6,0.01
4d2.org,6,0.01
hetzner-cloud.de,6,0.01
xfusion.com,5,0.01
blala.de,5,0.01
ee.vjti.ac.in,5,0.01
perex.cz,5,0.01
keba.com,5,0.01
tasossah.com,5,0.01
monroe.io,5,0.01
inria.fr,5,0.01
thorsis.com,5,0.01
couthit.com,5,0.01
konsulko.se,5,0.01
mucse.com,5,0.01
aurel32.net,5,0.01
infotecs.ru,5,0.01
arnaud-lcm.com,5,0.01
joelselvaraj.com,5,0.01
thegoodpenguin.co.uk,5,0.01
sandisk.com,5,0.01
kael-k.io,5,0.01
yeah.net,5,0.01
mkarcher.dialup.fu-berlin.de,5,0.01
fastmail.com,5,0.01
me.com,5,0.01
nigauri.org,5,0.01
desy.de,5,0.01
b4.vu,5,0.01
cypress.com,5,0.01
watter.com,5,0.01
foursemi.com,5,0.01
isovalent.com,5,0.01
yshyn.com,5,0.01
eurecom.fr,5,0.01
jms.id.au,5,0.01
paranoici.org,5,0.01
topic.nl,5,0.01
thaumatec.com,5,0.01
silabs.com,5,0.01
kragniz.eu,5,0.01
invicto.ai,5,0.01
davidreaver.com,5,0.01
steamfork.org,5,0.01
mayer-bgk.de,5,0.01
tuxedo.de,4,0.01
hogyros.de,4,0.01
aaront.org,4,0.01
bell-sw.com,4,0.01
cosmicgizmosystems.com,4,0.01
atomlin.com,4,0.01
toshiba.co.jp,4,0.01
geotab.com,4,0.01
leica-geosystems.com.cn,4,0.01
david-bauer.net,4,0.01
reznichenko.net,4,0.01
tkos.co.il,4,0.01
rasmusvillemoes.dk,4,0.01
web.de,4,0.01
cyberus-technology.de,4,0.01
blackwall.org,4,0.01
mailoo.org,4,0.01
milecki.pl,4,0.01
pm.me,4,0.01
chelsio.com,4,0.01
shiftphones.com,4,0.01
csh.rit.edu,4,0.01
arista.com,4,0.01
whitecape.org,4,0.01
matfyz.cz,4,0.01
grinn-global.com,4,0.01
proxmox.com,4,0.01
westermo.com,4,0.01
aisle.com,4,0.01
rosenzweig.io,4,0.01
gerhold.net,4,0.01
dabbelt.com,4,0.01
csie.ntu.edu.tw,4,0.01
illinois.edu,4,0.01
labundy.com,4,0.01
amazon.co.jp,4,0.01
kde.org,4,0.01
v3.sk,4,0.01
ni.com,4,0.01
atmark-techno.com,4,0.01
siewert.io,4,0.01
qtmlabs.xyz,4,0.01
inventec.com,4,0.01
flygoat.com,4,0.01
139.com,4,0.01
synopsys.com,4,0.01
ffwll.ch,4,0.01
mixaill.net,4,0.01
phytium.com.cn,4,0.01
yadro.com,4,0.01
hillion.co.uk,4,0.01
blaize.com,4,0.01
joshuagrisham.com,4,0.01
openpixelsystems.org,4,0.01
tenstorrent.com,4,0.01
gvernon.com,4,0.01
grimberg.me,4,0.01
svenpeter.dev,4,0.01
doyensec.com,4,0.01
rosa.ru,4,0.01
9elements.com,4,0.01
alistair23.me,4,0.01
sedlak.dev,4,0.01
enneenne.com,4,0.01
gehealthcare.com,3,0.00
